feature,mean_abs_shap
high_cost_refi_loan_pct,0.021180153
high_cost_purchase_loan_pct,0.01707179
cost_pressure_index,0.013517194
unemployment_rate,0.0012454743
median_household_income,0.0009909411
severe_crowding_rate,0.00080195063
Year,0.00055367773
renter_income_growth_yoy,0.000446766
affordability_stress_lag1,0.0004457422
income_growth_yoy,0.0003109375
new_building_permits,0.00027932273
renter_share,0.0002527757
housing_voucher_pct,0.00016183114
crime_rate_per1000_lag1,0.0001578027
crime_rate_per1000,0.0001442309
population,0.00013874387
renter_income_ratio,0.00013693012
renter_median_income,0.00011200015
fha_va_loan_pct,0.0001031078
income_gap,9.8666664e-05
unemployment_rate_lag1,9.3274466e-05
cost_pressure_index_lag1,6.882049e-05
government_support_index,6.735534e-05
economic_vulnerability_idx,5.677631e-05
car_free_commute_pct,5.4197928e-05
rental_vacancy_rate_lag1,5.046384e-05
rental_vacancy_rate,3.6895606e-05
homeownership_rate,2.5217674e-05
supply_pipeline_rate,2.1611699e-05
housing_burden_composite,1.4540561e-05
mean_travel_time_min,1.0660874e-05
median_household_income_lag1,5.5667297e-06
pop_density_1000sqmi,0.0
subway_proximity_pct,0.0
park_proximity_pct,0.0
permit_growth_yoy,0.0
supply_pipeline_rate_lag1,0.0
borough_code,0.0
market_tightness,0.0
